nr_ambulancias,nr_emergencias,distancia_total_media,tempo_medio_de_resposta,velocidade_media,media_de_gravidades
35,48,42.14717771337787,6.602142218690253,9.457142857142857,5.041666666666667
53,49,42.125706225732294,6.194786990212902,9.018867924528301,5.530612244897959
17,36,37.51433389238807,5.596794052510614,10.294117647058824,5.666666666666667
40,51,64.54502625644845,13.703926980517098,8.875,5.862745098039215
54,60,43.26740410328046,6.542889292177384,9.74074074074074,5.283333333333333
34,18,43.472218298931836,6.302630582525868,8.794117647058824,5.555555555555555
31,51,40.40838811748856,5.733836038303737,10.32258064516129,5.764705882352941
29,44,45.00077057304844,5.774907801754709,9.89655172413793,6.113636363636363
22,56,41.09940935035254,6.629718876875667,8.818181818181818,6.017857142857143
41,28,38.91977376740341,6.630941798830592,10.390243902439025,5.035714285714286
41,35,41.94308977370868,6.6017522589199436,9.365853658536585,5.142857142857143
35,32,42.91293800162416,6.5210042710782306,8.142857142857142,5.65625
58,21,43.96955074002307,5.892120166310934,9.206896551724139,6.238095238095238
52,59,42.24423682992176,5.718720057628352,9.73076923076923,5.915254237288136
59,40,43.497181967500175,6.091829855363936,9.169491525423728,6.05
41,12,47.80332345742462,6.354390379046914,10.21951219512195,6.333333333333333
36,32,41.47285837251698,5.848544292790876,10.333333333333334,5.75
33,22,49.45545473020687,6.37988740209046,9.181818181818182,6.409090909090909
40,44,68.86214724384747,18.2538752967539,10.05,5.568181818181818
38,49,42.27127913458719,6.293490291108102,9.31578947368421,4.918367346938775
41,21,44.57038499205454,6.9441700214302875,10.146341463414634,4.809523809523809
44,57,42.986802994499726,6.198233540808899,9.159090909090908,5.105263157894737
15,44,43.169477668764664,6.670182020584264,9.133333333333333,5.2272727272727275
12,46,46.065464388505,6.236586818915501,10.583333333333334,5.478260869565218
45,34,43.72196137047982,6.2959482651097645,10.177777777777777,5.529411764705882
24,31,43.26990501914613,6.0742757428027865,9.708333333333334,5.806451612903226
37,54,43.312942339262655,6.499749786036501,9.243243243243244,5.555555555555555
10,37,43.315531863846,5.905657120768612,9.7,6.351351351351352
47,38,43.83980316483565,6.0823986887767445,9.553191489361701,5.657894736842105
33,56,40.30115101894002,6.035508123788683,8.93939393939394,5.678571428571429
48,12,45.22815664997446,6.531842649811405,9.479166666666666,5.583333333333333
23,28,45.37243080352026,5.764662251471541,10.217391304347826,5.821428571428571
34,55,39.148079676988054,5.82539924813891,9.794117647058824,5.418181818181818
52,21,44.836898457558476,5.447211025064304,9.865384615384615,6.523809523809524
12,46,44.46345083637853,6.420767681006135,10.916666666666666,5.239130434782608
18,23,42.93541297204178,6.993372333038548,8.166666666666666,5.478260869565218
39,49,43.24684911626527,6.252585342833505,8.256410256410257,5.346938775510204
26,26,50.536626763639255,6.550168280540782,9.923076923076923,5.8076923076923075
27,36,40.198839943511615,6.246591741261548,8.481481481481481,5.444444444444445
16,13,42.514987080702525,6.589393966998037,8.75,5.153846153846154
41,15,37.60037396398875,4.414302840735359,9.365853658536585,6.333333333333333
39,39,44.222806511572266,7.1403207452263695,9.23076923076923,5.128205128205129
56,21,37.45240507925433,6.051164104880245,9.678571428571429,4.428571428571429
27,39,35.15483428836243,5.763130949515075,9.481481481481481,5.435897435897436
31,37,44.538880364501004,6.495639192341215,10.193548387096774,4.891891891891892
15,28,44.454338752977854,6.809175035672025,8.933333333333334,5.071428571428571
13,12,32.97160994577182,5.934720576254763,9.0,5.416666666666667
17,45,37.784504833076554,5.759226173031066,9.352941176470589,5.622222222222222
43,56,38.824918424017696,6.150739249368298,8.581395348837209,5.428571428571429
36,52,39.54921406599408,5.894106556138526,9.694444444444445,5.6923076923076925
18,39,38.98369504753422,5.222646412542784,11.0,6.102564102564102
33,15,40.83624020820891,5.375436580276726,9.515151515151516,6.133333333333334
18,32,40.84925035824168,5.74099792295105,10.61111111111111,5.125
44,26,40.41593477668919,6.1219878741172336,9.090909090909092,6.038461538461538
32,38,38.63957573143548,5.280869988626763,9.3125,6.2894736842105265
13,25,42.18661747129772,7.05957819304142,8.153846153846153,4.84
45,55,40.37826332085824,6.964725125892981,10.444444444444445,4.7272727272727275
