nr_ambs,nr_emergencias,velocidade_amb,dist_amb_emer,prioridade_emergencia,tempo_de_resposta
10,15,6,29.120439557122072,3,12.706813185707357
10,14,14,4.123105625617661,2,5.589015089373952
10,13,12,16.0312195418814,2,7.6718699236469
10,12,14,22.02271554554524,2,8.146102220792176
10,11,13,34.20526275297414,2,10.262348115842176
10,10,14,13.038404810405298,1,11.862629258629328
10,9,14,26.40075756488817,1,13.771536794984025
10,8,13,19.697715603592208,1,13.030417785168032
10,7,12,27.65863337187866,1,14.609772228646444
10,6,11,7.615773105863909,1,11.384686019247983
10,5,9,14.212670403551895,1,13.15837120078931
10,4,8,9.486832980505138,1,12.371708245126285
10,3,6,23.021728866442675,1,17.67390962214756
10,2,7,18.867962264113206,1,15.390846361175202
10,1,6,2.0,1,10.666666666666666
11,10,12,17.11724276862369,9,3.852873794770615
11,10,14,25.495097567963924,7,4.642156795423418
11,10,13,13.038404810405298,9,3.005908432370046
11,10,7,27.65863337187866,8,8.902466677679618
11,10,7,15.132745950421556,8,5.323641700120445
11,10,12,7.810249675906654,7,2.3017082793177757
11,10,14,28.319604517012593,5,6.0456577881446565
11,10,13,28.284271247461902,8,5.35142634576337
11,10,12,29.0,5,6.833333333333333
11,10,8,8.06225774829855,7,3.0155644370746373
11,10,7,8.0,4,4.285714285714286
11,19,14,19.4164878389476,10,3.7737839769925143
11,19,13,2.23606797749979,4,2.3440104580768906
11,19,12,30.4138126514911,9,6.068968775248517
11,19,8,18.110770276274835,9,5.527692569068709
11,19,14,32.526911934581186,10,5.6467017049401695
11,19,13,9.055385138137417,7,2.393136175098064
11,19,6,22.02271554554524,6,8.340905181848413
11,19,5,33.94112549695428,8,14.57645019878171
11,19,13,30.083217912982647,6,5.628187371228099
11,19,12,30.463092423455635,8,6.077182070575939
11,19,14,18.24828759089466,6,3.6068982272706656
11,28,14,9.486832980505138,10,2.355261854357877
11,27,13,17.72004514666935,7,3.7261607917952846
11,26,12,10.0,10,2.666666666666667
11,25,14,31.76476034853718,8,5.537822906933883
11,24,8,29.732137494637012,7,8.433034373659254
11,23,13,18.439088914585774,6,3.836782909936273
11,22,12,19.235384061671343,6,4.205897343611891
11,21,7,22.80350850198276,5,8.515288143423646
11,20,7,13.152946437965905,5,5.757984696561687
11,19,14,30.479501308256342,5,6.3542144726080485
11,18,13,27.294688127912362,4,6.199182788909594
11,17,14,20.024984394500787,4,4.860712056357255
11,16,13,21.93171219946131,4,5.374109569147894
11,15,12,25.553864678361276,3,7.258977446393546
11,14,8,6.082762530298219,3,4.520690632574555
11,13,7,28.160255680657446,3,11.0457873373307
11,12,14,15.652475842498529,3,5.23606797749979
11,11,7,14.422205101855956,3,7.120630029101702
11,10,13,33.94112549695428,2,10.221711614916043
11,9,8,28.635642126552707,2,12.158910531638178
11,8,5,27.65863337187866,2,16.063453348751466
11,7,12,21.470910553583888,2,8.578485092263982
11,6,14,33.28663395418648,2,9.75523342202664
11,5,13,17.204650534085253,1,12.646869312936193
11,4,12,30.805843601498726,1,15.134307266916455
11,3,5,28.284271247461902,1,21.31370849898476
11,2,8,21.400934559032695,1,15.350233639758173
11,1,5,23.0,1,19.2
12,9,11,2.23606797749979,9,1.406557814090871
12,9,12,35.608987629529715,5,7.934831271588286
12,9,12,25.079872407968907,8,5.179978734661485
12,9,14,24.596747752497688,7,4.51382110749967
12,9,10,25.495097567963924,8,6.0990195135927845
12,9,10,18.24828759089466,9,4.649657518178932
12,9,9,10.816653826391969,7,3.4037008503093262
12,9,7,32.64965543462902,6,10.328472981322577
12,9,14,25.942243542145693,6,4.7060347917350995
12,9,8,26.30589287593181,6,7.576473218982953
12,9,12,26.476404589747453,10,5.412734098291242
12,9,12,17.0,8,3.8333333333333335
12,17,14,25.0,10,4.571428571428571
12,17,12,25.96150997149434,6,5.32691832858239
12,17,12,20.615528128088304,10,4.435921354681383
12,17,11,1.4142135623730951,8,1.25712973861329
12,17,6,31.89043743820395,8,11.63014581273465
12,17,14,2.23606797749979,7,1.31943828249997
12,17,11,32.55764119219941,7,6.919571125854438
12,17,14,29.410882339705484,6,5.201554619957927
12,17,12,9.055385138137417,8,2.509230856356236
12,17,12,18.439088914585774,7,4.073181485764296
12,17,10,14.035668847618199,6,3.80713376952364
12,17,12,20.615528128088304,7,4.435921354681383
12,25,14,5.0990195135927845,10,1.7284313590846834
12,25,12,21.02379604162864,7,4.503966006938107
12,24,14,14.212670403551895,10,3.030381486221699
12,23,12,20.518284528683193,8,4.4197140881138655
12,22,11,34.828149534535996,8,7.33239082446109
12,21,10,24.0,8,5.8
12,20,14,27.294688127912362,6,4.8992411611303375
12,19,12,20.248456731316587,6,4.374742788552764
12,18,12,25.96150997149434,6,5.32691832858239
12,17,10,27.80287754891569,5,7.5605755097831375
12,16,9,17.69180601295413,5,5.93151244732314
12,15,14,23.259406699226016,4,5.322772385603717
12,14,14,32.64965543462902,4,6.664236490661288
12,13,12,18.027756377319946,4,5.004626062886658
12,12,12,19.0,3,6.166666666666666
12,11,11,20.09975124224178,3,6.654500225862142
12,10,10,34.828149534535996,3,9.9656299069072
12,9,10,32.64965543462902,3,9.529931086925803
12,8,9,30.610455730027933,3,9.802323495561762
12,7,14,12.36931687685298,3,4.767045268121855
12,6,12,23.323807579381203,3,6.887301263230201
12,5,12,18.027756377319946,2,8.004626062886658
12,4,11,17.804493814764857,2,8.237180693593611
12,3,7,27.313000567495326,1,17.803714447855807
12,2,14,3.605551275463989,1,10.515078753637713
12,1,12,34.058772731852805,1,15.676462121975469
13,8,6,1.0,10,1.3333333333333333
13,9,13,21.93171219946131,9,4.374109569147894
13,9,11,22.360679774997898,1,14.065578140908709
13,9,10,38.18376618407357,9,8.636753236814714
13,9,10,19.697715603592208,8,4.939543120718442
13,9,10,29.410882339705484,9,6.882176467941097
13,9,8,20.0,8,6.0
13,9,13,25.0,7,4.846153846153847
13,9,8,31.89043743820395,6,8.972609359550987
13,9,9,28.284271247461902,6,7.285393610547089
13,9,6,30.01666203960727,6,11.005554013202422
13,9,10,8.246211251235321,5,3.649242250247064
13,16,13,21.840329667841555,10,4.36005071812947
13,16,11,28.600699292150182,5,7.200127144027306
13,16,7,26.019223662515376,9,8.434063903575822
13,16,10,35.35533905932738,9,8.071067811865476
13,16,10,20.024984394500787,8,5.004996878900157
13,16,13,16.0312195418814,6,3.4663414679817537
13,16,10,10.295630140987,7,3.0591260281974
13,16,9,18.24828759089466,5,6.0551750201988135
13,16,8,28.635642126552707,10,8.158910531638178
13,16,13,14.317821063276353,7,3.2027417020425157
13,16,11,8.0,5,3.4545454545454546
13,16,10,22.825424421026653,5,6.565084884205331
13,16,10,28.160255680657446,7,6.632051136131489
13,23,13,24.041630560342615,10,4.698712393898864
13,23,11,28.792360097775937,4,7.234974563231988
13,23,10,21.213203435596427,10,5.242640687119286
13,22,10,22.360679774997898,10,5.47213595499958
13,21,10,19.6468827043885,9,4.9293765408776995
13,20,13,30.805843601498726,9,5.739360554076727
13,19,9,29.966648127543394,8,7.659255139454087
13,18,8,24.20743687382041,8,7.051859218455102
13,17,10,30.4138126514911,7,7.08276253029822
13,16,11,25.079872407968907,4,6.559976801448892
13,15,10,19.026297590440446,4,5.805259518088089
13,14,13,25.80697580112788,4,5.97030396940429
13,13,10,32.202484376209235,4,8.440496875241847
13,12,13,25.942243542145693,4,5.991114391099337
13,11,11,9.848857801796104,4,3.7907014185083825
13,10,10,22.561028345356956,3,7.512205669071391
13,9,10,30.083217912982647,3,9.01664358259653
13,8,10,29.966648127543394,3,8.993329625508679
13,7,11,22.561028345356956,2,9.102005153701263
13,6,9,15.264337522473747,2,8.392075004994165
13,5,13,14.317821063276353,2,7.202741702042516
13,4,5,24.20743687382041,1,19.682974749528164
13,3,8,2.0,1,10.5
13,2,10,18.027756377319946,1,13.60555127546399
13,1,8,29.410882339705484,1,17.35272058492637
14,7,14,26.40075756488817,10,4.771536794984025
14,7,14,21.540659228538015,4,5.077237032648288
14,7,14,36.124783736376884,7,6.160683390910983
14,7,14,26.90724809414742,8,4.843892584878203
14,7,12,11.40175425099138,9,2.90029237516523
14,7,14,19.4164878389476,7,3.7737839769925143
14,7,12,13.45362404707371,10,3.242270674512285
14,7,14,24.041630560342615,7,4.434518651477516
14,7,14,34.655446902326915,8,5.950778128903845
14,7,14,7.0,5,3.0
14,7,10,17.029386365926403,8,4.405877273185281
14,7,14,31.304951684997057,5,6.47213595499958
14,7,14,9.219544457292887,9,2.3170777796132693
14,7,14,8.06225774829855,8,2.151751106899793
14,13,9,21.0,7,5.666666666666667
14,13,14,20.12461179749811,7,3.8749445424997297
14,13,14,17.029386365926403,9,3.432769480846629
14,13,9,26.570660511172846,8,6.904591224705077
14,13,14,14.035668847618199,7,3.005095549659743
14,13,14,13.892443989449804,9,2.9846348556356865
14,13,14,20.396078054371138,10,3.913725436338734
14,13,14,13.152946437965905,6,2.8789923482808435
14,13,14,15.811388300841896,9,3.2587697572631282
14,14,14,21.095023109728988,6,4.0135747299612845
14,14,14,18.384776310850235,8,3.626396615835748
14,14,14,39.59797974644666,6,6.656854249492381
14,21,14,13.038404810405298,9,2.8626292586293283
14,21,14,31.400636936215164,3,7.485805276602166
14,21,14,17.72004514666935,7,3.531435020952764
14,21,14,24.041630560342615,6,4.434518651477516
14,20,14,27.459060435491963,5,5.922722919355994
14,19,14,30.886890422961002,5,6.412412917565858
14,18,14,31.827660925679098,4,6.546808703668442
14,17,12,14.035668847618199,4,4.3392781412697
14,16,14,16.0,4,4.285714285714286
14,15,14,23.345235059857504,4,5.335033579979644
14,14,14,27.730849247724095,3,6.961549892532013
14,13,12,16.15549442140351,3,5.692582403567252
14,12,14,30.23243291566195,3,7.318918987951707
14,11,14,34.828149534535996,3,7.975449933505142
14,10,14,24.08318915758459,2,8.440455593940655
14,9,14,19.026297590440446,2,7.718042512920064
14,8,14,23.430749027719962,2,8.347249861102853
14,7,14,25.298221281347036,2,8.614031611621005
14,6,14,26.019223662515376,2,8.717031951787911
14,5,12,3.1622776601683795,2,5.52704627669473
14,4,12,14.317821063276353,1,12.386303510546059
14,3,10,22.0,1,14.4
14,2,9,19.235384061671343,1,14.274529791482522
14,1,14,21.18962010041709,1,13.027088585773871
15,6,13,23.345235059857504,9,4.591574624593463
15,6,13,16.76305461424021,1,12.578931479113878
15,6,7,14.422205101855956,10,5.120630029101702
15,6,14,31.38470965295043,8,5.48352995042149
15,6,11,20.0,8,4.636363636363637
15,6,13,4.123105625617661,7,1.634323942402717
15,6,9,22.47220505424423,10,5.993823345387607
15,6,13,1.0,5,2.1538461538461537
15,6,13,28.231188426986208,7,5.3432597579978784
15,6,14,25.019992006393608,9,4.574284572341944
15,6,13,14.560219778561036,7,3.2400338120863132
15,6,10,21.095023109728988,10,5.219004621945798
15,6,10,26.40075756488817,8,6.280151512977634
15,6,8,20.248456731316587,9,6.062114182829147
15,6,9,29.732137494637012,3,9.607141665474892
15,11,14,27.459060435491963,10,4.922722919355994
15,11,13,13.601470508735444,7,3.0925339244208376
15,11,13,26.92582403567252,10,5.142434467026542
15,11,13,33.97057550292606,10,6.2262423850655475
15,11,11,28.0178514522438,8,6.094154809498873
15,11,14,24.020824298928627,6,4.431546328418375
15,11,13,21.02379604162864,6,4.23443016025056
15,11,10,18.027756377319946,8,4.60555127546399
15,11,13,7.0710678118654755,5,3.0878565864408425
15,11,10,15.652475842498529,4,5.1304951684997055
15,11,14,17.4928556845359,4,4.498979383505128
15,11,13,32.64965543462902,8,6.023023913019849
15,11,13,21.470910553583888,7,4.303217008243675
15,11,13,14.142135623730951,7,3.175713172881685
15,17,14,5.0,10,1.7142857142857144
15,17,13,18.601075237738275,7,3.8617038827289654
15,17,14,12.041594578792296,10,2.720227796970328
15,17,13,29.5296461204668,8,5.543022480071816
15,17,13,20.615528128088304,7,4.171619712013586
15,16,14,25.019992006393608,7,4.574284572341944
15,15,13,1.4142135623730951,6,1.2175713172881686
15,14,11,32.01562118716424,4,7.821022034029863
15,13,13,36.069377593742864,4,7.549135014421979
15,12,13,23.40939982143925,3,6.6014461263752695
15,11,14,25.019992006393608,3,6.574284572341944
15,10,13,25.298221281347036,3,6.892034043284159
15,9,10,27.0,3,8.4
15,8,10,12.165525060596439,3,5.433105012119288
15,7,9,29.120439557122072,2,11.471208790471572
15,6,14,4.47213595499958,2,5.63887656499994
15,5,13,30.805843601498726,2,9.739360554076727
15,4,13,15.811388300841896,2,7.432521277052599
15,3,13,27.202941017470888,1,14.185067848841676
15,2,11,8.94427190999916,1,11.626231256363484
15,1,10,7.0710678118654755,1,11.414213562373096
16,5,14,8.54400374531753,9,2.22057196361679
16,6,12,16.1245154965971,8,3.6874192494328497
16,7,14,17.029386365926403,7,3.432769480846629
16,7,13,21.95449840010015,8,4.377615138476946
16,7,11,34.20526275297414,6,7.219138682358935
16,7,12,23.021728866442675,9,4.836954811073779
16,7,14,25.495097567963924,6,4.642156795423418
16,7,9,18.027756377319946,6,5.006168083848877
16,7,11,36.87817782917155,6,7.705123241667554
16,7,13,19.0,9,3.923076923076923
16,7,9,19.924858845171276,5,6.427746410038061
16,7,14,25.612496949731394,5,5.658928135675914
16,8,13,28.844410203711913,8,5.437601569801833
16,12,14,22.360679774997898,10,4.1943828249997
16,12,9,5.830951894845301,6,2.2957670877434
16,12,8,22.47220505424423,10,6.618051263561058
16,12,13,16.15549442140351,9,3.4854606802159247
16,12,8,28.0,9,8.0
16,12,14,30.463092423455635,7,5.3518703462079475
16,12,12,13.0,7,3.1666666666666665
16,12,13,26.627053911388696,9,5.096469832521338
16,12,12,28.600699292150182,9,5.766783215358363
16,12,7,28.653097563788805,6,9.186599303939659
16,12,12,26.40075756488817,6,5.400126260814695
16,12,14,11.0,6,2.571428571428571
16,12,11,31.304951684997057,9,6.691809397272192
16,12,13,21.587033144922902,9,4.3210820222958315
16,12,14,17.029386365926403,8,3.432769480846629
16,12,12,24.08318915758459,6,5.013864859597432
16,16,14,28.792360097775937,9,5.113194299682276
16,16,13,8.0,8,2.230769230769231
16,16,12,15.652475842498529,9,3.608745973749755
16,15,12,31.622776601683793,9,6.270462766947299
16,17,13,21.37755832643195,8,4.288855127143377
16,16,14,12.649110640673518,4,3.8070158058105026
16,15,9,4.123105625617661,6,1.9162456945817024
16,14,12,28.861739379323623,6,5.810289896553937
16,13,11,24.515301344262525,5,6.457327517138641
16,12,14,19.209372712298546,5,4.744196101756935
16,11,13,30.528675044947494,5,6.6967192376842295
16,10,12,26.1725046566048,5,6.362084109434133
16,9,11,7.0,4,3.2727272727272725
16,8,12,28.284271247461902,4,6.714045207910317
16,7,14,22.825424421026653,4,5.260774917289522
16,6,13,27.073972741361768,4,6.165226575594118
16,5,14,33.301651610693426,3,7.757378801527632
16,4,12,10.44030650891055,3,4.740051084818425
16,3,12,30.870698080866262,3,8.145116346811044
16,2,11,1.0,2,5.181818181818182
16,1,11,22.47220505424423,1,14.085855464408041
17,5,12,24.331050121192877,2,9.055175020198813
17,6,13,12.206555615733702,4,3.8779316331898004
17,6,11,27.892651361962706,1,15.071391156720491
17,6,12,31.064449134018133,4,7.177408189003022
17,6,12,8.06225774829855,4,3.343709624716425
17,6,14,16.401219466856727,3,5.343031352408104
17,6,11,32.7566787083184,5,7.955759765148799
17,6,10,25.179356624028344,5,7.035871324805669
17,6,9,26.68332812825267,9,6.929628472945037
17,6,13,18.439088914585774,9,3.836782909936273
17,6,10,24.596747752497688,4,6.919349550499538
17,6,14,25.96150997149434,6,4.708787138784906
17,6,10,26.076809620810597,2,10.215361924162119
17,6,13,25.709920264364882,8,4.955372348363828
17,10,14,28.635642126552707,10,5.0908060180789585
17,11,13,31.906112267087632,8,5.90863265647502
17,12,12,1.0,8,1.1666666666666667
17,12,12,34.828149534535996,9,6.804691589089333
17,13,14,18.027756377319946,8,3.575393768188564
17,13,13,19.4164878389476,10,3.987151975222708
17,14,12,17.204650534085253,10,3.8674417556808756
17,14,14,13.601470508735444,2,6.943067215533635
17,14,13,16.15549442140351,7,3.4854606802159247
17,14,12,22.360679774997898,10,4.72677996249965
17,14,12,15.811388300841896,6,3.6352313834736494
17,14,12,27.459060435491963,6,5.576510072581994
17,14,13,28.861739379323623,6,5.440267596819019
17,17,14,13.601470508735444,10,2.9430672155336346
17,17,12,25.179356624028344,5,6.196559437338057
17,17,13,21.633307652783937,10,4.328201177351374
17,17,14,29.206163733020468,5,6.172309104717209
17,17,12,26.248809496813376,8,5.374801582802229
17,17,7,21.400934559032695,5,8.114552731152198
17,17,12,25.96150997149434,7,5.32691832858239
17,16,13,7.280109889280518,6,2.1200169060431566
17,15,12,8.06225774829855,5,3.343709624716425
17,14,7,19.0,4,7.428571428571429
17,13,14,15.231546211727817,4,4.175935173103974
17,12,13,28.442925306655784,4,6.375834662562428
17,11,12,33.83784863137726,4,7.639641438562877
17,10,12,5.385164807134504,3,3.8975274678557508
17,9,12,28.653097563788805,3,7.775516260631467
17,8,14,11.313708498984761,2,6.616244071283537
17,7,11,21.93171219946131,1,13.987584036265693
17,6,13,23.08679276123039,1,13.551814270958522
17,5,12,9.219544457292887,1,11.536590742882147
17,4,14,20.12461179749811,1,12.87494454249973
17,3,12,26.1725046566048,1,14.362084109434132
17,2,12,27.018512172212592,1,14.503085362035431
17,1,11,10.770329614269007,1,11.958241748048911
18,3,14,10.44030650891055,6,2.491472358415793
18,3,14,19.1049731745428,4,4.729281882077543
18,3,10,21.02379604162864,7,5.2047592083257275
18,3,12,26.92582403567252,4,6.487637339278753
18,3,14,34.058772731852805,3,7.865538961693258
18,3,13,32.449961479175904,2,9.992301766027062
18,3,12,17.26267650163207,3,5.877112750272012
18,3,10,27.018512172212592,9,6.403702434442518
18,3,11,22.80350850198276,6,5.146092454905956
18,3,14,9.0,9,2.2857142857142856
18,3,14,27.018512172212592,4,5.859787453173228
18,3,9,26.627053911388696,3,8.917123091419711
18,3,14,14.866068747318506,10,3.1237241067597865
18,3,14,12.36931687685298,9,2.7670452681218545
18,3,12,28.0,9,5.666666666666667
18,3,9,31.827660925679098,5,9.0728135390398
18,8,14,17.029386365926403,10,3.432769480846629
18,9,14,3.1622776601683795,8,1.4517539514526256
18,9,14,20.518284528683193,2,7.931183504097599
18,9,14,29.410882339705484,9,5.201554619957927
18,9,14,33.421549934136806,8,5.7745071334481155
18,9,13,9.055385138137417,10,2.393136175098064
18,9,8,20.248456731316587,9,6.062114182829147
18,9,12,26.0,7,5.333333333333333
18,9,13,13.0,9,3.0
18,10,14,24.596747752497688,7,4.51382110749967
18,10,14,14.560219778561036,9,3.080031396937291
18,10,9,7.810249675906654,8,2.735611039090368
18,10,14,31.89043743820395,6,5.555776776886279
18,10,13,4.47213595499958,7,1.6880209161537816
18,10,14,15.297058540778355,4,4.185294077254051
18,12,14,20.0,5,4.857142857142858
18,12,14,13.601470508735444,4,3.9430672155336346
18,12,14,19.72308292331602,9,3.8175832747594316
18,12,13,18.973665961010276,9,3.9190255324631194
18,12,12,18.384776310850235,5,5.064129385141706
18,12,14,36.87817782917155,4,7.268311118453078
18,12,14,25.238858928247925,8,4.60555127546399
18,12,14,19.6468827043885,9,3.806697529198357
18,11,13,35.608987629529715,10,6.4783057891584175
18,10,12,20.024984394500787,4,5.337497399083464
18,9,12,21.840329667841555,4,5.640054944640259
18,8,14,22.135943621178654,4,5.162277660168379
18,7,14,18.788294228055936,3,5.68404203257942
18,6,14,27.459060435491963,3,6.922722919355994
18,5,11,32.2490309931942,2,10.863460180580763
18,4,13,18.027756377319946,2,7.773500981126146
18,3,12,19.697715603592208,1,13.282952600598701
18,2,14,13.038404810405298,1,11.862629258629328
18,1,14,35.38361202590826,1,15.054801717986894
19,2,8,4.47213595499958,9,2.118033988749895
19,2,12,6.324555320336759,6,2.05409255338946
19,2,12,35.35533905932738,10,6.892556509887896
19,2,14,15.620499351813308,8,3.231499907401901
19,2,11,26.68332812825267,7,5.851514205136849
19,2,11,19.4164878389476,2,8.53027051617229
19,2,12,30.886890422961002,8,6.1478150704935
19,2,14,23.021728866442675,8,4.28881840949181
19,2,12,7.810249675906654,2,6.301708279317776
19,2,10,28.319604517012593,1,15.663920903402518
19,2,9,15.297058540778355,4,5.39934634239519
19,2,10,35.608987629529715,7,8.121797525905944
19,2,10,20.0,7,5.0
19,2,8,31.144823004794873,10,8.786205751198718
19,2,14,33.97057550292606,10,5.8529393575608655
19,2,9,38.897300677553446,5,10.643844595011878
19,2,9,32.526911934581186,8,8.228202652129152
19,2,12,28.0178514522438,1,14.6696419087073
19,2,10,24.020824298928627,7,5.804164859785725
19,3,14,27.892651361962706,7,4.984664480280387
19,3,12,14.7648230602334,1,12.460803843372233
19,3,7,26.92582403567252,10,8.69309258162072
19,3,12,31.38470965295043,3,8.230784942158405
19,3,11,25.059928172283335,3,7.556350576778788
19,3,11,32.01562118716424,1,15.821022034029863
19,3,14,23.0,4,5.285714285714286
19,3,10,17.204650534085253,2,8.440930106817051
19,3,10,22.360679774997898,3,7.47213595499958
19,3,10,23.40939982143925,10,5.68187996428785
19,3,10,22.0,1,14.4
19,3,9,32.01562118716424,10,8.114582486036499
19,3,14,24.166091947189145,9,4.452298849598449
19,3,12,28.0178514522438,8,5.6696419087073
19,3,12,27.80287754891569,3,7.633812924819281
19,3,12,30.886890422961002,3,8.1478150704935
19,3,11,10.816653826391969,9,2.966664332071267
19,3,14,13.341664064126334,6,2.905952009160905
19,3,10,23.706539182259394,4,6.741307836451879
19,4,14,23.706539182259394,5,5.386648454608485
19,4,12,25.0,2,9.166666666666668
19,4,12,7.0,4,3.166666666666667
19,4,11,20.223748416156685,7,4.677045166573943
19,4,12,14.422205101855956,8,3.4037008503093262
